,City,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date,Lat,Lng
48,chippewa falls,65.89,72,90,6.93,US,1592926685,44.94,-91.39
49,mahebourg,71.6,83,40,8.05,MU,1592927322,-20.41,57.7
50,amnat charoen,84.09,69,94,6.96,TH,1592927322,15.86,104.63
51,nishihara,80.69,94,75,4.7,JP,1592927322,26.18,127.76
52,barceloneta,87.93,70,40,11.41,PR,1592927321,18.45,-66.54
53,nikolskoye,75.65,38,0,11.18,RU,1592926880,59.7,30.79
54,rikitea,69.66,52,92,10.94,PF,1592926881,-23.12,-134.97
55,amot,79.57,44,73,9.17,NO,1592927323,59.57,7.99
56,fremont,64.09,82,90,3.36,US,1592927323,37.55,-121.99
57,guadalupe victoria,78.8,41,5,6.93,MX,1592927323,32.29,-115.11
58,te anau,40.68,89,59,0.83,NZ,1592927323,-45.42,167.72
59,dubai,96.28,41,8,6.93,AE,1592927315,25.26,55.3
60,bredasdorp,62.6,63,34,3.65,ZA,1592926882,-34.53,20.04
61,shenjiamen,75.96,96,100,12.01,CN,1592927323,29.96,122.3
62,broome,75.36,78,75,8.05,US,1592927323,42.25,-75.83
63,tautira,71.29,68,54,2.24,PF,1592927324,-17.73,-149.15
64,ust-tarka,54.41,94,99,17.94,RU,1592927075,55.57,75.7
65,kyzyl-suu,56.62,64,90,1.16,KG,1592927324,42.34,78.0
66,samarai,79.39,87,86,14.76,PG,1592927324,-10.62,150.67
67,tual,80.69,81,7,17.76,ID,1592927324,-5.67,132.75
68,dikson,38.23,86,58,13.15,RU,1592927324,73.51,80.55
69,victoria,84.56,74,85,8.01,HK,1592926834,22.29,114.16
70,la ronge,66.2,63,20,4.7,CA,1592927324,55.1,-105.28
71,namibe,74.53,63,1,8.88,AO,1592926887,-15.2,12.15
72,mehamn,46.4,81,0,6.93,NO,1592927324,71.04,27.85
73,marawi,75.99,89,91,3.0,PH,1592927325,8.0,124.29
74,hermanus,64.0,71,28,10.8,ZA,1592926887,-34.42,19.23
75,svetlaya,51.08,94,100,7.7,RU,1592927325,46.54,138.33
76,deputatskiy,61.92,76,29,1.14,RU,1592927325,69.3,139.9
77,inverell,40.95,90,22,1.01,AU,1592927325,-29.78,151.12
78,longyearbyen,48.2,66,20,5.82,SJ,1592926878,78.22,15.64
79,lianran,72.34,68,40,15.66,CN,1592927325,24.92,102.48
80,mahanje,65.1,69,23,2.57,TZ,1592927325,-9.93,35.33
81,zapolyarnyy,55.4,43,55,5.82,RU,1592927325,69.42,30.81
82,petilia policastro,80.6,42,40,10.29,IT,1592927325,39.11,16.79
83,tiksi,51.12,70,5,4.56,RU,1592927325,71.69,128.87
84,zhongshu,67.84,88,100,4.12,CN,1592927325,24.52,103.77
85,fortuna,58.86,100,20,5.17,US,1592926880,40.6,-124.16
86,alpena,71.87,83,90,4.7,US,1592927326,45.06,-83.43
87,victoria point,52.54,52,0,12.01,AU,1592927326,-27.58,153.3
88,mar del plata,53.04,82,75,6.93,AR,1592927310,-38.0,-57.56
89,saint george,86.5,16,1,1.63,US,1592926766,37.1,-113.58
90,barrow,33.8,86,90,4.7,US,1592926888,71.29,-156.79
91,pisco,64.24,77,75,6.93,PE,1592927125,-13.7,-76.22
92,greencastle,71.06,78,90,12.75,US,1592927120,39.64,-86.86
93,alyangula,69.8,77,0,4.7,AU,1592927326,-13.85,136.42
94,jever,72.21,49,20,9.17,DE,1592927326,53.58,7.9
95,villa del rosario,87.8,48,40,25.28,CO,1592927326,7.83,-72.47
96,sorong,79.83,83,68,7.54,ID,1592927326,-0.88,131.25
97,chuy,69.85,83,79,10.74,UY,1592926879,-33.7,-53.46
98,lebu,50.09,79,100,10.63,CL,1592926886,-37.62,-73.65
99,butaritari,82.74,76,10,15.66,KI,1592926878,3.07,172.79
100,butte,77.65,50,1,5.82,US,1592927327,39.65,-121.57
101,terrace,51.8,93,75,9.17,CA,1592927327,54.52,-128.6
102,kapaa,71.65,83,20,12.75,US,1592926882,22.08,-159.32
103,anadyr,46.18,100,75,6.71,RU,1592927327,64.75,177.48
104,kodiak,48.2,93,90,5.82,US,1592927327,57.79,-152.41
105,lavrentiya,38.95,74,57,6.8,RU,1592927327,65.58,-171.0
106,provideniya,39.49,73,11,6.4,RU,1592927327,64.38,-173.3
107,manokwari,79.3,77,78,5.14,ID,1592926882,-0.87,134.08
108,korla,87.26,16,75,20.94,CN,1592926882,41.76,86.15
109,whitehorse,48.52,57,20,4.7,CA,1592927122,60.72,-135.05
110,vardo,44.6,75,36,13.87,NO,1592926883,70.37,31.11
111,saint-philippe,63.3,73,11,14.99,RE,1592926883,-21.36,55.77
112,sitka,51.8,93,75,2.93,US,1592927327,57.05,-135.33
113,rio grande,80.29,54,40,9.17,BR,1592927141,-32.03,-52.1
114,soyo,80.6,69,20,11.41,AO,1592927328,-6.13,12.37
115,nara,72.63,26,32,2.77,JP,1592927321,34.69,135.8
116,yar-sale,49.84,61,50,9.73,RU,1592927328,66.83,70.83
117,flinders,52.59,66,8,7.0,AU,1592927328,-34.58,150.86
118,dudinka,60.8,55,32,6.71,RU,1592927328,69.41,86.18
119,cayenne,80.6,83,90,4.7,GF,1592926667,4.93,-52.33
120,hilo,60.51,77,40,8.05,US,1592926735,19.73,-155.09
121,carnarvon,62.6,82,0,8.05,AU,1592926886,-24.87,113.63
122,castro,71.17,58,81,8.3,BR,1592926882,-24.79,-50.01
123,husavik,59.0,47,20,11.41,IS,1592927328,66.04,-17.34
124,hithadhoo,84.69,76,100,10.38,MV,1592926879,-0.6,73.08
125,bethel,82.22,58,20,13.87,US,1592926750,41.37,-73.41
126,tuatapere,39.0,83,42,3.0,NZ,1592927329,-46.13,167.68
127,haines junction,45.93,61,72,6.02,CA,1592927329,60.75,-137.51
128,santa cruz del sur,88.43,63,9,9.35,CU,1592927329,20.71,-78.0
129,isangel,75.2,83,75,10.16,VU,1592927329,-19.55,169.27
130,dabra,93.9,45,77,8.52,IN,1592927081,25.9,78.33
131,cidreira,75.18,59,3,6.38,BR,1592927329,-30.18,-50.21
132,binika,86.94,61,8,4.32,IN,1592927329,21.03,83.8
133,eyl,82.65,68,14,26.35,SO,1592927329,7.98,49.82
134,bengkulu,76.6,86,99,6.67,ID,1592926879,-3.8,102.27
135,airai,54.14,100,19,3.27,TL,1592927329,-8.93,125.41
136,bathsheba,87.8,66,40,20.8,BB,1592927329,13.22,-59.52
137,weatherford,70.74,93,100,1.99,US,1592927307,32.76,-97.8
138,cam ranh,87.8,70,40,4.7,VN,1592927330,11.92,109.16
139,igrim,52.32,79,49,1.43,RU,1592927330,63.19,64.42
140,saint anthony,68.86,64,90,11.41,US,1592927330,45.02,-93.22
141,mapiripan,79.54,80,87,5.12,CO,1592927328,2.89,-72.13
142,muros,75.99,69,11,11.01,ES,1592927330,42.78,-9.06
143,tura,76.71,93,99,5.46,IN,1592927330,25.52,90.22
144,valparaiso,52.59,100,75,3.36,CL,1592927065,-33.04,-71.63
145,carutapera,87.58,61,73,5.66,BR,1592927330,-1.2,-46.02
146,nome,45.36,61,20,6.93,US,1592927142,64.5,-165.41
147,bafata,90.21,60,85,7.83,GW,1592927330,12.17,-14.75
148,dillon,83.84,65,40,9.17,US,1592927330,34.42,-79.37
149,sobolevo,70.05,83,56,7.16,RU,1592927330,54.43,31.9
150,kaitangata,46.99,83,50,4.07,NZ,1592926882,-46.28,169.85
151,innisfail,63.54,79,3,5.59,AU,1592927171,-17.53,146.03
152,marsh harbour,83.03,77,20,10.49,BS,1592926889,26.54,-77.06
153,lumeje,71.74,25,0,2.95,AO,1592927331,-11.55,20.78
154,rawson,51.55,44,3,9.13,AR,1592927069,-43.3,-65.1
155,stornoway,61.3,67,20,11.41,GB,1592927331,58.21,-6.39
156,esperance,55.4,82,75,16.11,AU,1592927331,-33.87,121.9
157,san quintin,66.49,79,99,8.32,MX,1592927125,30.48,-115.95
158,puerto del rosario,78.8,61,20,21.92,ES,1592927331,28.5,-13.86
159,severnoye,57.52,83,99,2.37,RU,1592927331,56.35,78.36
160,flin flon,73.4,43,20,2.24,CA,1592927331,54.77,-101.86
161,guiren,72.18,93,86,6.51,CN,1592927331,33.67,118.19
162,glyadyanskoye,56.05,71,29,4.79,RU,1592927331,54.91,65.09
163,arraial do cabo,82.4,51,40,16.11,BR,1592926878,-22.97,-42.03
164,neuquen,44.6,65,75,2.24,AR,1592927123,-38.95,-68.06
165,girisu de cris,71.6,68,40,16.11,RO,1592927332,47.06,21.76
166,george,59.0,72,0,4.7,ZA,1592927332,-33.96,22.46
167,la empalizada,86.31,68,100,3.78,MX,1592927332,21.31,-97.66
168,palaia fokaia,77.58,54,40,14.99,GR,1592927332,37.72,23.95
169,coquimbo,57.2,82,90,3.36,CL,1592927332,-29.95,-71.34
170,moerai,72.27,60,100,10.74,PF,1592927332,-22.43,-151.33
171,tuktoyaktuk,37.4,93,90,23.04,CA,1592927332,69.45,-133.04
172,dryden,64.4,59,75,5.82,CA,1592927334,49.78,-92.75
173,atyrau,86.0,15,12,8.95,KZ,1592927334,47.12,51.88
174,phuket,77.0,94,20,2.24,TH,1592927305,8.0,98.25
175,bilma,107.53,6,0,8.63,NE,1592927335,18.69,12.92
176,ketchikan,52.54,100,90,11.41,US,1592927260,55.34,-131.65
177,gazanjyk,91.04,13,0,4.36,TM,1592927335,39.24,55.52
178,douglas,71.62,49,1,10.29,US,1592927217,41.3,-96.17
179,arlit,108.52,6,0,5.37,NE,1592927335,18.74,7.39
180,vung tau,84.58,76,100,8.97,VN,1592927335,10.35,107.08
181,evensk,50.5,77,10,3.24,RU,1592927335,61.95,159.23
182,strezhevoy,55.4,71,96,6.26,RU,1592927335,60.73,77.59
183,port lincoln,51.03,70,20,5.66,AU,1592927335,-34.73,135.87
184,ancud,41.43,100,75,6.93,CL,1592926882,-41.87,-73.82
185,thompson,69.8,64,20,4.7,CA,1592926880,55.74,-97.86
186,taltal,62.19,66,99,3.65,CL,1592927335,-25.4,-70.48
187,aban,64.35,71,20,4.45,RU,1592927335,56.67,96.06
188,markova,66.2,93,75,8.95,UA,1592927336,48.68,24.41
189,hamilton,74.07,88,75,8.05,US,1592926830,39.18,-84.53
190,cabo san lucas,88.48,7,5,5.82,MX,1592927136,22.89,-109.91
191,portland,68.04,59,20,3.36,US,1592927055,45.52,-122.68
192,touros,82.4,65,62,9.17,BR,1592927336,-5.2,-35.46
193,batagay-alyta,63.9,66,82,3.31,RU,1592927336,67.8,130.41
194,alofi,68.0,100,39,2.24,NU,1592926888,-19.06,-169.92
195,utete,75.85,76,69,6.2,TZ,1592927336,-7.99,38.76
196,kushima,69.89,82,56,1.43,JP,1592927336,31.46,131.23
197,visby,71.17,48,29,6.93,SE,1592927336,57.64,18.3
198,isabela,78.8,94,75,1.45,PH,1592927336,6.71,121.97
199,oakland,70.81,78,75,9.17,US,1592927095,42.67,-83.4
200,verkhoyansk,69.22,46,0,4.5,RU,1592927336,67.54,133.38
201,la palma,64.27,82,90,5.82,US,1592927295,33.85,-118.05
202,avarua,75.2,78,64,12.75,CK,1592926879,-21.21,-159.78
203,vanavara,63.43,75,62,3.4,RU,1592927337,60.34,102.28
204,vostok,53.83,100,100,3.65,RU,1592927337,46.49,135.88
205,iqaluit,46.2,70,75,16.11,CA,1592927209,63.75,-68.51
206,luderitz,73.4,40,0,4.7,NA,1592926882,-26.65,15.16
207,paamiut,40.1,79,25,20.47,GL,1592927337,61.99,-49.67
208,vagamo,75.27,38,91,3.04,NO,1592927337,61.88,9.1
209,muleba,77.0,69,13,5.82,TZ,1592927337,-1.84,31.65
210,sisimiut,43.11,65,6,8.55,GL,1592927337,66.94,-53.67
211,mount isa,44.6,45,0,4.7,AU,1592927337,-20.73,139.5
212,tessalit,107.56,6,0,6.22,ML,1592927337,20.2,1.01
213,grand gaube,71.01,77,4,3.0,MU,1592927338,-20.01,57.66
214,porto recanati,82.13,32,0,6.93,IT,1592927338,43.44,13.66
215,ngunguru,59.0,97,100,14.0,NZ,1592927338,-35.62,174.5
216,nizhnevartovsk,57.2,62,20,4.65,RU,1592927103,60.93,76.55
217,keti bandar,88.88,74,21,10.87,PK,1592927338,24.14,67.45
218,sawakin,90.86,42,63,7.31,SD,1592927338,19.11,37.33
219,fairbanks,48.49,93,90,9.17,US,1592926656,64.84,-147.72
220,derzhavinsk,61.16,52,0,11.07,KZ,1592927338,51.1,66.32
221,porto santo,69.8,73,75,17.22,PT,1592927338,33.07,-16.34
222,wenling,79.66,99,98,5.03,CN,1592927338,28.37,121.36
223,la primavera,83.88,75,13,10.18,CO,1592927338,5.49,-70.41
224,churapcha,58.96,64,62,5.28,RU,1592927338,62.0,132.43
225,sao jose da coroa grande,80.92,72,5,13.69,BR,1592926883,-8.9,-35.15
226,bossier city,81.25,69,20,8.05,US,1592927202,32.52,-93.73
227,kruisfontein,53.29,79,0,1.57,ZA,1592927339,-34.0,24.73
228,tazovskiy,48.18,63,100,7.45,RU,1592927339,67.47,78.7
229,villarrobledo,90.28,24,0,8.01,ES,1592927339,39.27,-2.6
230,hinton,68.85,46,84,3.51,CA,1592927124,53.4,-117.59
231,macedo de cavaleiros,94.68,15,0,5.66,PT,1592927339,41.54,-6.96
232,george town,84.09,83,20,3.36,MY,1592927339,5.41,100.34
233,masindi,70.57,78,8,1.48,UG,1592927339,1.67,31.71
234,santa vitoria do palmar,72.01,76,45,11.86,BR,1592927339,-33.52,-53.37
235,sinnamary,80.85,85,83,8.37,GF,1592927339,5.38,-52.95
236,khatanga,69.19,60,75,6.08,RU,1592927339,71.97,102.5
237,kanker,79.38,78,0,4.97,IN,1592927339,20.27,81.49
238,nabire,76.12,88,35,3.51,ID,1592927339,-3.37,135.48
239,itoman,80.78,88,40,4.7,JP,1592927339,26.12,127.67
240,mount gambier,51.8,100,90,2.24,AU,1592926887,-37.83,140.77
241,amahai,82.0,96,30,4.81,ID,1592927340,-3.33,128.92
242,balasheyka,62.22,68,96,1.9,RU,1592927340,53.28,48.09
243,umba,52.56,55,35,5.37,RU,1592927340,66.69,34.34
244,komsomolskiy,86.0,27,20,9.17,UZ,1592927340,40.43,71.72
245,guerrero negro,66.06,76,100,9.06,MX,1592927340,27.98,-114.06
246,kommunisticheskiy,51.42,83,55,2.73,RU,1592927340,61.68,64.48
247,vila velha,77.67,61,40,4.7,BR,1592927340,-20.33,-40.29
248,lompoc,55.27,93,90,3.36,US,1592926888,34.64,-120.46
249,sao miguel do iguacu,80.6,44,0,14.99,BR,1592927203,-25.35,-54.24
250,souillac,71.6,83,40,8.05,MU,1592927340,-20.52,57.52
251,manggar,80.67,83,97,10.47,ID,1592927340,-2.88,108.27
252,salamiyah,79.14,30,0,17.74,SY,1592927340,35.01,37.05
253,kharan,101.93,15,73,6.44,PK,1592927340,28.58,65.42
254,baruun-urt,62.69,69,9,17.63,MN,1592927341,46.68,113.28
255,saldanha,66.2,52,0,4.7,ZA,1592926762,-33.01,17.94
256,port-gentil,80.6,74,20,11.41,GA,1592927341,-0.72,8.78
257,gat,77.67,74,0,12.53,IL,1592927341,31.61,34.76
258,camacha,69.8,73,75,17.22,PT,1592927341,33.08,-16.33
259,yerbogachen,58.71,63,44,4.52,RU,1592926879,61.28,108.01
260,andira,90.03,50,93,4.41,BR,1592927341,-0.74,-47.84
261,upernavik,35.62,86,64,10.71,GL,1592927341,72.79,-56.15
262,bowen,55.09,87,0,5.79,AU,1592927042,-20.02,148.23
263,san andres,87.8,74,75,16.11,CO,1592927341,12.58,-81.7
264,baykit,61.47,80,35,2.59,RU,1592927341,61.67,96.37
265,xiaoweizhai,72.88,93,100,1.59,CN,1592927342,26.19,107.51
266,fort nelson,59.0,58,40,5.82,CA,1592927171,58.81,-122.7
267,emerald,51.46,57,0,6.93,AU,1592927342,-23.53,148.17
268,upington,75.2,17,0,8.05,ZA,1592927342,-28.45,21.26
269,masvingo,57.06,54,17,6.96,ZW,1592927342,-20.06,30.83
270,jaszladany,70.93,68,61,6.93,HU,1592927342,47.37,20.17
271,cherskiy,39.76,72,48,9.62,RU,1592927342,68.75,161.3
272,ulladulla,47.26,66,39,16.11,AU,1592927342,-35.35,150.47
273,faanui,77.99,79,55,17.2,PF,1592926878,-16.48,-151.75
274,eqbaliyeh,90.57,12,0,4.7,IR,1592927342,35.3,51.54
275,cefalu,76.46,77,7,1.99,IT,1592927342,38.04,14.02
276,urumqi,77.0,20,26,2.24,CN,1592927342,43.8,87.6
277,olafsvik,51.21,71,14,7.83,IS,1592927342,64.89,-23.71
278,cururupu,89.6,52,44,6.64,BR,1592927343,-1.83,-44.87
279,kashi,80.6,20,40,22.37,CN,1592927343,39.45,75.98
280,edwardsville,72.09,73,20,9.17,US,1592927343,38.81,-89.95
281,galesong,75.2,94,20,2.24,ID,1592927343,-5.32,119.37
282,klyuchi,67.84,49,54,8.14,RU,1592927343,52.27,79.17
283,okhotsk,43.14,94,5,7.67,RU,1592927343,59.38,143.3
284,cap malheureux,71.01,77,3,3.0,MU,1592927343,-19.98,57.61
285,macamic,75.2,57,90,10.29,CA,1592927343,48.75,-79.0
286,clyde river,42.8,81,90,13.87,CA,1592927343,70.47,-68.59
287,wahiawa,70.93,88,40,4.23,US,1592927343,21.5,-158.02
288,belyy yar,59.0,87,0,2.24,RU,1592927343,53.6,91.39
289,saint-francois,84.2,39,3,10.29,FR,1592927343,46.42,3.91
290,fuyu,60.57,92,50,1.68,CN,1592927343,45.18,124.82
291,liepaja,69.8,77,99,2.24,LV,1592927343,56.54,21.04
292,hasaki,69.24,94,75,4.7,JP,1592927344,35.73,140.83
293,salalah,84.2,89,40,2.24,OM,1592926889,17.02,54.09
294,bonavista,62.65,79,51,12.95,CA,1592927344,48.65,-53.11
295,nyurba,58.32,63,28,5.75,RU,1592927344,63.28,118.33
296,sao joao da barra,78.8,41,97,11.41,BR,1592926878,-21.64,-41.05
297,comodoro rivadavia,46.4,61,100,8.05,AR,1592927344,-45.87,-67.5
298,rundu,69.8,21,0,8.05,NA,1592927344,-17.93,19.77
299,ukiah,68.54,68,1,1.43,US,1592927136,39.15,-123.21
300,thinadhoo,83.79,77,48,10.69,MV,1592927344,0.53,72.93
301,faya,83.3,10,40,16.11,SA,1592926887,18.39,42.45
302,lisala,81.09,71,84,2.04,CD,1592927344,2.15,21.52
303,tari,98.62,28,8,3.06,NG,1592927344,12.41,4.49
304,georgetown,84.09,83,20,3.36,MY,1592926696,5.41,100.34
305,nyalikungu,76.91,38,93,2.42,TZ,1592927345,-3.18,33.78
306,sistranda,62.6,77,95,10.29,NO,1592927345,63.73,8.83
307,nantucket,68.13,88,75,10.29,US,1592927345,41.28,-70.1
308,wilmington,86.13,70,1,8.05,US,1592927064,34.23,-77.94
309,shingu,66.7,86,54,4.09,JP,1592926885,33.73,135.98
310,colares,77.04,64,20,18.34,PT,1592927345,38.8,-9.45
311,ilulissat,39.2,86,75,5.82,GL,1592926889,69.22,-51.1
312,asau,69.01,81,24,2.71,RO,1592926887,46.43,26.4
313,aswan,107.89,7,0,10.89,EG,1592927125,24.09,32.91
314,kirakira,79.27,81,24,3.2,SB,1592927345,-10.45,161.92
315,sarangani,83.93,75,58,11.16,PH,1592927345,5.4,125.46
316,nuuk,50.0,46,20,5.82,GL,1592927304,64.18,-51.72
317,pavino,62.22,69,79,4.56,RU,1592927345,59.11,46.14
318,saskylakh,77.34,35,72,7.31,RU,1592926885,71.92,114.08
319,nanortalik,42.93,79,12,9.64,GL,1592926887,60.14,-45.24
320,poplar bluff,76.59,65,1,3.36,US,1592927346,36.76,-90.39
321,sal rei,87.8,52,0,18.34,CV,1592927346,16.18,-22.92
322,buraydah,100.4,10,11,20.8,SA,1592927346,26.33,43.98
323,namatanai,81.0,78,53,6.08,PG,1592927346,-3.67,152.43
324,narovchat,57.61,94,100,3.22,RU,1592927346,53.88,43.69
325,burnie,48.0,77,94,4.0,AU,1592927346,-41.07,145.92
326,kavieng,83.1,78,49,10.63,PG,1592926880,-2.57,150.8
327,kavaratti,84.04,78,99,12.03,IN,1592927346,10.57,72.64
328,kununurra,59.0,31,0,10.51,AU,1592927346,-15.77,128.73
329,bubaque,82.65,81,74,8.63,GW,1592927346,11.28,-15.83
330,paciran,78.22,81,65,4.29,ID,1592927346,-6.88,112.38
331,itarema,85.21,58,21,15.28,BR,1592927346,-2.92,-39.92
332,kodinsk,68.18,55,68,1.88,RU,1592927347,58.69,99.18
333,kieta,79.92,76,39,3.18,PG,1592927347,-6.22,155.63
334,ostrovnoy,41.09,69,94,16.06,RU,1592927347,68.05,39.51
335,chapais,73.4,78,75,5.82,CA,1592927347,49.78,-74.85
336,kudahuvadhoo,84.18,78,7,11.41,MV,1592927347,2.67,72.89
337,berlevag,42.69,73,0,9.33,NO,1592927347,70.86,29.09
338,huangcun,74.32,95,100,2.8,CN,1592927347,30.01,118.4
339,pacific grove,57.06,87,90,1.95,US,1592927131,36.62,-121.92
340,kigoma,82.4,54,5,6.93,TZ,1592927347,-4.88,29.63
341,mukhen,55.11,90,100,0.83,RU,1592927347,48.1,136.1
342,kilrush,62.6,88,75,9.17,IE,1592927347,52.64,-9.48
343,meulaboh,76.82,78,99,2.93,ID,1592927348,4.14,96.13
344,keetmanshoop,77.0,13,0,10.29,NA,1592927348,-26.58,18.13
345,franklin square,82.35,65,40,12.75,US,1592927348,40.71,-73.68
346,pochutla,78.4,78,90,11.41,MX,1592926879,15.74,-96.47
347,henties bay,66.99,74,0,7.0,NA,1592927348,-22.12,14.28
348,narsaq,59.0,54,20,8.05,GL,1592927348,60.92,-46.05
349,severo-kurilsk,45.12,86,53,11.07,RU,1592927348,50.68,156.12
350,aklavik,41.0,80,90,18.34,CA,1592926883,68.22,-135.01
351,lensk,54.57,85,33,3.76,RU,1592927348,60.73,114.93
352,karratha,68.52,50,0,4.47,AU,1592927348,-20.74,116.85
353,qeshm,91.4,70,0,9.17,IR,1592927348,26.96,56.27
354,springbok,62.19,30,0,7.27,ZA,1592927348,-29.66,17.89
355,panormos,74.66,80,31,11.99,GR,1592927348,35.42,24.69
356,winburg,44.37,61,0,2.84,ZA,1592927348,-28.52,27.01
357,fukuma,76.08,78,95,3.36,JP,1592927349,33.77,130.47
358,mitzic,81.27,64,25,3.58,GA,1592927349,0.78,11.55
359,viterbo,81.0,32,20,12.75,IT,1592927349,42.42,12.08
360,nyimba,73.02,42,98,8.81,ZM,1592927349,-14.56,30.81
361,casablanca,76.87,64,40,18.34,MA,1592927227,33.59,-7.62
362,two rivers,66.0,76,90,5.01,US,1592927349,44.15,-87.57
363,kahului,71.31,68,20,8.05,US,1592927349,20.89,-156.47
364,eydhafushi,84.16,80,96,10.96,MV,1592927349,5.1,73.07
365,panino,62.6,88,75,8.95,RU,1592927349,51.65,40.13
366,bambous virieux,71.31,83,40,8.05,MU,1592926890,-20.34,57.76
367,lar,91.44,57,32,12.95,IN,1592927349,26.2,83.97
368,pevek,31.3,99,99,9.51,RU,1592926888,69.7,170.31
369,kattivakkam,80.6,74,75,9.17,IN,1592927349,13.22,80.32
370,port hedland,62.6,67,0,8.05,AU,1592927350,-20.32,118.57
371,pangnirtung,39.2,93,90,9.17,CA,1592927350,66.15,-65.71
372,tullahoma,78.85,78,75,11.41,US,1592927350,35.36,-86.21
373,zhezkazgan,67.5,44,0,21.09,KZ,1592927350,47.8,67.71
374,harper,79.38,76,48,12.19,LR,1592927350,4.38,-7.72
375,ponta do sol,70.99,69,40,9.17,PT,1592926881,32.67,-17.1
376,lata,86.14,50,0,8.03,PT,1592927350,40.16,-8.33
377,asyut,104.49,10,0,14.58,EG,1592927350,27.18,31.18
378,felanitx,82.74,54,20,10.29,ES,1592927350,39.47,3.15
379,kenai,47.82,87,1,5.82,US,1592927350,60.55,-151.26
380,esfarayen,84.2,20,20,11.41,IR,1592927350,37.08,57.51
381,plettenberg bay,59.45,64,0,3.4,ZA,1592927350,-34.05,23.37
382,slave lake,60.8,87,75,12.75,CA,1592927350,55.28,-114.77
383,la asuncion,86.0,74,83,16.11,VE,1592926889,11.03,-63.86
384,batabano,89.29,66,20,5.82,CU,1592927351,22.72,-82.29
385,takoradi,81.01,78,100,11.27,GH,1592927351,4.88,-1.76
386,beloha,62.89,84,6,9.28,MG,1592927351,-25.17,45.05
